Gambar Produk,Link Produk,Nama Produk,Nama Toko,Harga,Omset Total,Penjualan Total,Omset 30 Hari,Penjualan 30 Hari,Rating
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224w-mg37o7hgzz0q5c_tn.webp,https://shopee.co.id/phoenix-sepeda-keranjang-dewasa-1-speed-20-26-inch-i.97135924.17891982978,Phoenix Sepeda Keranjang Dewasa 1 Speed 20-26 Inch,sinar_bike2,Rp 1.290.000,Rp 2.580.000.000,2.0,Rp 60.630.000,47,4.82
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbk1-m9mlnh8k7pg246_tn.webp,https://shopee.co.id/promo-sepeda-lipat-20-maximus-70-7-speed-i.315270698.40950491660,"PROMO Sepeda Lipat 20"" Maximus 7.0 7 Speed",Travelholic,Rp 2.350.000,Rp 472.350.000,201.0,Rp 16.450.000,7,4.88
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zto-mdzwhwl9hslf77_tn.webp,https://shopee.co.id/pacific-bike-sepeda-gunung-remaja-dan-dewasa-mtb-fastron-f-260-dx-ukuran-ban-24-dan-26-i.349407809.28483361529,Pacific Bike Sepeda Gunung Remaja dan Dewasa MTB Fastron F-260 DX Ukuran Ban 24 dan 26,PacificBike Official Shop,Rp 1.170.000,Rp 864.630.000,739.0,Rp 26.910.000,23,4.83
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0g-mdpvqxvdpwgc00_tn.webp,https://shopee.co.id/sepeda-gunung-275-mtb-atlantis-730-rem-cakram-new-i.105979235.2654446919,Sepeda Gunung 27.5 MTB ATLANTIS 730 REM CAKRAM NEW,Lautan Jaya Bike,Rp 675.000,Rp 4.050.000.000,6.0,Rp 153.225.000,227,4.63
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/ddff89cfd6c7cd372f9a711914e0e70e_tn.webp,https://shopee.co.id/sepeda-lipat-20-inch-evergreen-7-speed-axxil-clasicc-morison-lipat-i.31188778.1452644931,SEPEDA LIPAT 20 Inch EVERGREEN 7 SPEED AXXIL CLASICC MORISON LIPAT,Cung Bikes,Rp 725.000,Rp 709.775.000,979.0,Rp 19.575.000,27,4.73
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98o-lz4q6ovphgh96d_tn.webp,https://shopee.co.id/sepeda-lipat-murah-pacific-2980-rx-50-20-inch-7-speed-i.315270698.24734929019,"Sepeda Lipat Murah Pacific 2980 RX 5.0 20 Inch, 7 speed",Travelholic,Rp 2.350.000,Rp 603.950.000,257.0,Rp 2.350.000,1,4.91
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98o-lkutlbvrjzjf9a_tn.webp,https://shopee.co.id/sepeda-lipat-folding-bike-20-inch-exotic-explore-30-aloy-i.69976481.12206460233,Sepeda Lipat Folding Bike 20 Inch Exotic Explore 3.0 Aloy,kristina_blossom,Rp 1.974.000,Rp 183.582.000,93.0,Rp 1.974.000,1,4.86
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztk-mez37okd143r1b_tn.webp,https://shopee.co.id/sepeda-lipat-odessy-phyton-tidak-bahasi-ukuran-16-dan-20-36-frame-steel-7-speed-garansi-original-i.34416008.14301939589,"Sepeda Lipat Odessy Phyton Tidak Bahasi Ukuran 16"" dan 20"" 36 Frame Steel - 7 Speed Garansi Original",Odessy Official Shop,Rp 1.200.000,Rp 42.000.000,35.0,Rp 7.200.000,6,4.56
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r992-lz4fbuqzknr955_tn.webp,https://shopee.co.id/sepeda-lipat-evergreen-16-inch-single-speed-i.293949635.7654012166,Sepeda Lipat Evergreen 16 Inch Single Speed,Cyclus_Indonesia,Rp 1.017.000,Rp 297.981.000,293.0,Rp 9.153.000,9,4.85
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98u-lw6mj2r09lwe8d_tn.webp,https://shopee.co.id/free-pompa-bel-sepeda-lipat-anak-1618-inch-paragon-mazara-i.93544599.18371256284,Free Pompa Bel Sepeda Lipat Anak 16/18 Inch Paragon Mazara,Everybodywin Company,Rp 660.000,Rp 660.000.000,1.0,Rp 7.260.000,11,4.73
